"Name","TID","InfoTID","SWF","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","AttackRange","AttackSpeed","Damage","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SmallPicture","SmallPictureSWF","Projectile","RageProjectile","PreferedTargetBuilding","DeployEffect","AttackEffect","HitEffect","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","MaxSearchRadiusForDefender","HousingSpace","SpecialAbilityEffect","RegenerationTimeMinutes","TrainingTime","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilityTriggerEffect","AbilityAffectsHero","AbilityAffectsCharacter","AbilityRadius","AbilityTime","AbilityOnce","AbilityCooldown","AbilitySpeedBoost","AbilitySpeedBoost2","AbilityDamageBoostPercent","AbilitySummonTroop","AbilitySummonTroopCount","AbilityStealth","AbilityDamageBoostOffset","AbilityHealthIncrease","AbilityTID","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","AbilityDelay","StrengthWeight","StrengthWeight2","AlertRadius"
,,,,,3840,,,165000,10,,,230,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,25,21,
,,,,,3936,,,170000,10,,,235,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4034,,,175000,10,,,239,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4135,,,180000,10,,,244,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4238,,,185000,10,,,249,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4344,,,190000,10,,,254,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4453,,,,10,,,259,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,27,22,
"Archer Queen","TID_ARCHER_QUEEN","TID_HERO_INSTRUCTIONS_QUEEN","sc/characters.cs",300,725,12,"DarkElixir",22500,9,500,750,160,1,,"sc/ui.sc","icon_hero_archerQueen","unit_archerQueen_big","sc/info_archerqueen.sc","unit_archerQueen_small","sc/ui.sc","ArcherQueen arrow lvl1","ArcherQueen arrow rage",,"Archer Queen Deploy","ArcherQueen attack","Archer Queen Hit","false","true","true",,"Archer Queen Die","ArcherQueen_lvl1",1000,25,"Building Ready",30,,"Elixir",,"Archer Queen Scream",70,-50,300,"Queen Ability Effect","true",,2500,0,"true",0,,,,"Archer",0,"true",0,0,"TID_HERO_ABILITY_QUEEN_TITLE","TID_HERO_ABILITY_QUEEN_DESC","icon_hero_archerQueen_ability1","unit_archerQueen_ability1_big",0,20,26,1300
,,,,,740,24,,25000,9,,,164,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,32,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,20,26,
,,,,,755,36,,27500,9,,,168,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,34,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,20,26,
,,,,,771,48,,30000,9,,,172,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,36,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,20,26,
,,,,,787,60,,32500,9,,,176,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,38,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,804,72,,35000,9,,,181,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,40,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,821,84,,40000,9,,,185,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,42,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,838,96,,45000,9,,,190,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,44,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,856,108,,50000,9,,,194,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,46,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,874,120,,55000,9,,,199,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,48,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,892,132,,60000,9,,,204,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,50,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,911,144,,65000,9,,,209,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,52,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,930,156,,70000,9,,,215,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,54,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,949,168,,75000,9,,,220,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,56,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,969,,,80000,9,,,226,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,58,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,990,,,85000,9,,,231,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,60,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1010,,,90000,9,,,237,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,62,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1032,,,95000,9,,,243,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,64,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1053,,,100000,9,,,249,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,66,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1076,,,105000,9,,,255,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,68,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1098,,,110000,9,,,262,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,70,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1121,,,115000,9,,,268,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,72,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1145,,,120000,9,,,275,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,74,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1169,,,125000,9,,,282,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,76,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1193,,,130000,9,,,289,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,78,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1218,,,135000,9,,,296,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,80,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1244,,,140000,9,,,304,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,82,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1270,,,145000,9,,,311,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,84,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1297,,,150000,9,,,319,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,86,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1324,,,155000,9,,,327,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,88,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1352,,,160000,10,,,335,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1380,,,165000,10,,,344,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1409,,,170000,10,,,352,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1439,,,175000,10,,,361,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1469,,,180000,10,,,370,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1500,,,185000,10,,,379,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1532,,,190000,10,,,389,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1564,,,195000,10,,,398,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1597,,,200000,10,,,408,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1630,,,,10,,,419,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,41,33,
