"Name","ID","Enabled","EnabledIOS","EnabledAndroid","EnabledKunlun","Type","ShowAsNew","TID","InfoTID","ButtonTID","ButtonURL","NativeIOSURL","IncludedLanguages","ExcludedLanguages","IncludedCountries","ExcludedCountries","IncludedLoginCountries","ExcludedLoginCountries","CenterText","LoadResources","ItemSWF","ItemExportName","IconSWF","IconExportName","IconFrame","AnimateIcon","CenterIcon","MinTownHall","MaxTownHall","MinLevel","MaxLevel","MaxDiamonds","ClickToDismiss","NotifyAlways","NotifyMinLevel","AvatarIdModulo","ModuloMin","ModuloMax","Collapsed","ActionType","MinOS","MaxOS"
"WeChatService",137,"TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_WECHAT_SERVICE","TID_NEWS_BUTTON_GO","http://mp.weixin.qq.com/s?__biz=MzA4Mjk1NTU2Nw==&mid=210540000&idx=1&sn=c99e2a796806628b6fe9af457185d814#rd ",,"CN",,,,,,"TRUE","FALSE","sc/ui.sc","wechat_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"Weibo",9,"TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_WEIBO","TID_NEWS_BUTTON_GO","http://m.weibo.cn/d/coc365",,"CN",,,,,,"TRUE","FALSE","sc/ui.sc","weibo_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"Youku",11,"TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_YOUKU","TID_NEWS_BUTTON_GO","http://i.youku.com/coc365",,"CN",,,,,,"TRUE","FALSE","sc/ui.sc","youku_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"Instagram",12,"TRUE","TRUE","TRUE","FALSE","more","FALSE",,"TID_MORE_INSTAGRAM","TID_NEWS_BUTTON_GO","http://instagram.com/clashofclans",,,"CN",,,,,"TRUE","FALSE","sc/ui.sc","instagram_link",,,0,"FALSE","FALSE",,,0,,0,"TRUE",,,,,,,,,
,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitch",13,"TRUE","TRUE","TRUE","FALSE","more","FALSE",,"TID_MORE_TWITCH","TID_NEWS_BUTTON_GO","http://www.twitch.tv/directory/game/Clash%20of%20Clans",,,"CN",,,,,"TRUE","FALSE","sc/ui.sc","twitchglitch_link",,,0,"FALSE","FALSE",,,0,,0,"TRUE",,,,,,,,,
,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HungryApp",14,"TRUE","TRUE","TRUE","FALSE","more","FALSE",,"TID_MORE_HUNGRYAPP","TID_NEWS_BUTTON_GO","http://www.hungryapp.co.kr/bbs/list.php?bcode=coc",,"KR",,,,,,"TRUE","FALSE","sc/ui.sc","hungryapp_link",,,0,"FALSE","FALSE",,,0,,0,"TRUE",,,,,,,,,
"AppBankAndroid",18,"TRUE","FALSE","TRUE","FALSE","more","FALSE",,"TID_MORE_APPBANK","TID_NEWS_BUTTON_GO","https://play.google.com/store/apps/details?id=net.appbank.clashofclansdb&hl=ja",,"JP",,,,,,"TRUE","FALSE","sc/ui.sc","appbank_link",,,0,"FALSE","FALSE",,,0,,0,"TRUE",,,,,,,,,
"AppBank",15,"TRUE","TRUE","FALSE","FALSE","more","FALSE",,"TID_MORE_APPBANK","TID_NEWS_BUTTON_GO","https://itunes.apple.com/jp/app/gong-shi-kurakura-gong-e/id930825600",,"JP",,,,,,"TRUE","FALSE","sc/ui.sc","appbank_link",,,0,"FALSE","FALSE",,,0,,0,"TRUE",,,,,,,,,
"Famitsu",16,"TRUE","TRUE","TRUE","FALSE","more","FALSE",,"TID_MORE_FAMITSU","TID_NEWS_BUTTON_GO","http://app.famitsu.com/category/game-tips/clash-of-clans/",,"JP",,,,,,"TRUE","FALSE","sc/ui.sc","famitsu_link",,,0,"FALSE","FALSE",,,0,,0,"TRUE",,,,,,,,,
"Forums",10,"TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_FORUMS","TID_NEWS_BUTTON_GO","http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans",,,"KR",,,,,"TRUE","FALSE","sc/ui.sc","forums_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,
,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safeguard",85,"TRUE","TRUE","FALSE","FALSE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT","TID_GOOGLE_SERVICE_SIGN_IN",,,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gc",,,0,"FALSE","FALSE",,,,,,,,,,,,,"OpenGC","7.0",
"SafeguardIOS6",87,"TRUE","TRUE","FALSE","FALSE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT","TID_GOOGLE_SERVICE_SIGN_IN",,,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gc6",,,0,"FALSE","FALSE",,,,,,,,,,,,,"OpenGC",,"7.0"
"SpecialAccountTransfer",1,"TRUE","FALSE","TRUE","FALSE","news","TRUE","TID_NEWS_ACCOUNT_TRANSFER","TID_NEWS_ACCOUNT_TRANSFER_TEXT","TID_GOOGLE_PLAY_KUNLUN_TUTORIAL_BUTTON","https://coc.kunlun.com/att/index.html",,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","account_transfer_news_item",0,"TRUE","FALSE",,,0,,0,"FALSE","TRUE",0,,,,,"AccountTransfer",,
"SafeguardAndroid",86,"TRUE","FALSE","TRUE","FALSE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT_ANDROID","TID_GOOGLE_SERVICE_SIGN_IN",,,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gplus",,,0,"FALSE","FALSE",,,,,,,,,,,,,"OpenG+",,
"UpgradeYourOS",106,"FALSE","TRUE","FALSE","FALSE","news","TRUE","TID_NEWS_UPGRADE_OS_TITLE","TID_NEWS_UPGRADE_OS_TEXT","TID_NEWS_UPGRADE_OS_MORE","http://support.apple.com/HT204204",,"EN",,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic_ios","sc/ui.sc",,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,"5.1.1"
,,,,,,,,,,,"http://support.apple.com/fr-fr/ht4623",,"FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/de-de/ht4623",,"DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/nl-nl/HT4623",,"NL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/ja-jp/ht4623",,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/pt-br/ht4623",,"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/es-es/ht4623",,"ES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/it-it/HT4623",,"IT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/no-no/ht4623",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/tr-tr/HT4623",,"TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/zh-cn/HT4623",,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/ko-kr/HT4623",,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/ru-ru/HT4623",,"RU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tokyo",135,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_VIDEO_TITLE","TID_NEWS_VIDEO_TEXT","TID_NEWS_BUTTON_GO","http://www.appbank.net/2015/07/27/iphone-application/1069225.php",,"JP",,,,,,"FALSE","TRUE","sc/news.sc","tokyo_event_item",,,0,"TRUE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"ClashCon",136,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_RESOURCE_BOOST_TITLE","TID_NEWS_RESOURCE_BOOST","TID_NEWS_BUTTON_GO","http://clashcon.clashofclans.com/",,,,,,,,"FALSE","TRUE","sc/news.sc","clashcon_event_item",,,0,"TRUE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"Update",119,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_UPDATE_TITLE","TID_NEWS_UPDATE_TEXT",,,,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/buildings.sc","walls_news_icon",0,"TRUE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"UpdateSpells",120,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_SPELLS_TITLE","TID_NEWS_SPELLS_TEXT",,,,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","spell_tweaks_news_icon",0,"TRUE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"UpdateOther",121,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_UPDATE_OTHER_TITLE","TID_NEWS_UPDATE_OTHER_TEXT",,,,,,,,,,"FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/characters.sc","lavahound_news_icon",0,"TRUE","FALSE",,,0,,0,"FALSE",,,,,,,,,
