"Name","ID","Enabled","EnabledIOS","EnabledAndroid","EnabledKunlun","Type","ShowAsNew","TID","InfoTID","ButtonTID","ButtonURL","NativeIOSURL","IncludedLanguages","ExcludedLanguages","IncludedCountries","ExcludedCountries","IncludedLoginCountries","ExcludedLoginCountries","CenterText","LoadResources","LoadInLowEnd","ItemSWF","ItemExportName","IconSWF","IconExportName","IconFrame","AnimateIcon","CenterIcon","MinTownHall","MaxTownHall","MinLevel","MaxLevel","MaxDiamonds","ClickToDismiss","NotifyAlways","NotifyMinLevel","AvatarIdModulo","ModuloMin","ModuloMax","Collapsed","ActionType","MinOS","MaxOS"
,,,,,,,,,,,"http://support.apple.com/no-no/ht4623",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/tr-tr/HT4623",,"TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/zh-cn/HT4623",,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/ko-kr/HT4623",,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"http://support.apple.com/ru-ru/HT4623",,"RU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UpdateTH11Overview",170,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_OVERVIEW_TITLE","TID_NEWS_TH11_UPDATE_OVERVIEW_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_th11",,,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11",171,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_TH11_TITLE","TID_NEWS_TH11_UPDATE_TH11_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/buildings.sc","town_hall_lvl11_news",0,"TRUE","FALSE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Hero",172,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_HERO_TITLE","TID_NEWS_TH11_UPDATE_HERO_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/characters.sc","elder_fly_news_item",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Artillery",173,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_ARTILLERY_TITLE","TID_NEWS_TH11_UPDATE_ARTILLERY_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/buildings.sc","doom_cannon_lvl1_icon",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Spells",174,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_SPELLS_TITLE","TID_NEWS_TH11_UPDATE_SPELLS_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","icon_spell_donate",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Shield",175,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_SHIELDS_TITLE","TID_NEWS_TH11_UPDATE_SHIELDS_TEXT","TID_NEWS_UPGRADE_OS_MORE","http://supr.cl/ShieldsIG",,,,,,,,"FALSE","TRUE","TRUE","sc/ui.sc","news_entry_dynamic","sc/shop.sc","icon_shield_1",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Guard",176,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_GUARD_TITLE","TID_NEWS_TH11_UPDATE_GUARD_TEXT","TID_NEWS_UPGRADE_OS_MORE","http://supr.cl/Shields2IG",,,,,,,,"FALSE","TRUE","TRUE","sc/ui.sc","news_entry_dynamic","sc/shop.sc","icon_shield_4",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Loot",177,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_LOOT_TITLE","TID_NEWS_TH11_UPDATE_LOOT_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/buildings.sc","gold_storage_lvl12",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Gameplay",178,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_GAMEPLAY_TITLE","TID_NEWS_TH11_UPDATE_GAMEPLAY_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/characters.sc","goblin6_news_icon",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"UpdateTH11Other",179,"TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_TH11_UPDATE_OTHER_TITLE","TID_NEWS_TH11_UPDATE_OTHER_TEXT",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","clan_wars_news_icon",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,
"TOSUpdate",180,"TRUE","TRUE","TRUE","TRUE","news","TRUE",,"TID_NEWS_TOS_UPDATE",,,,,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_text2","sc/ui.sc","barbarian_icon",0,"FALSE","TRUE",,,0,,0,"FALSE",,,,,,,,,
